id,created_at,numSlic,alphaSlic,street,city,state,zip,phone,directions
1,2023-11-19 00:20:05.717929+00,0169,WORMA,315 Hartford Turnpike,Shrewsbury,MA,01545,(508) 751-6008,worma.pdf
2,2023-11-19 00:20:05.717929+00,0299,PRORI,150 Plan Way,Warwick,RI,02886,(401) 736-1516,
3,2023-11-19 00:20:05.717929+00,0609,BDLAP,85-179 Citatation Ln,Windsor Locks,CT,06096,(860) 386-3130,
5,2023-11-19 00:20:05.717929+00,0647,ORACT,58 Orange Blvd,Orange,CT,06477,(203) 799-8011,
6,2023-11-19 00:20:05.717929+00,0649,NOWCT,180 Fitchville Rd,Bozrah,CT,06334,(860) 886-7495,
7,2023-11-19 00:20:05.717929+00,0652,NHACT,456 Sackett Point Rd,North Haven,CT,06473,(203) 288-9754,
8,2023-11-19 00:20:05.717929+00,0667,0667,1175 Woodend Rd,Stratford,CT,06615,,
9,2023-11-19 00:20:05.717929+00,0669,STRCT,1010 Honeyspot Rd,Startford,CT,06497,(203) 385-7018,strct.pdf
10,2023-11-19 00:20:05.717929+00,0679,WATCT,8 Mountain View Rd,Watertown,CT,06795,(860) 417-1499,watct.pdf
11,2023-11-19 00:20:05.717929+00,0680,DANCT,58 Pocono Rd,Brookfield,CT,06804,(203) 740-3305,
13,2023-11-19 00:20:05.717929+00,0699,NORCT,190 Martin Luther King Dr,South Norwalk,CT,06854,(203) 855-9198,
15,2023-11-19 00:20:05.717929+00,0709,MEANJ,493 County Ave,Secaucus,NJ,07094,(201) 330-2368,meanj.pdf
16,2023-11-19 00:20:05.717929+00,0719,ORANJ,70 Gould Ave,Newark,NJ,07107,(973) 268-3051,
20,2023-11-19 00:20:05.717929+00,0759,SADNJ,280 North Midland Ave,Saddlebrook,NJ,07663,(201) 794-4271,sadnj.pdf
21,2023-11-19 00:20:05.717929+00,0769,BAYNJ,400 Port Lincoln Rd,Bayonne,NJ,07002,(201) 270-1150,
22,2023-11-19 00:20:05.717929+00,0779,TFANJ,750 Hope Rd,Tinton Falls,NJ,07724,(732) 389-4267,
25,2023-11-19 00:20:05.717929+00,07CR,CRONJ,125 County Rd,Jersey City,NJ,07307,(201) 239-3242,cronj.pdf
26,2023-11-19 00:20:05.717929+00,07ES,EASNJ,7 Eastmans Rd,Parsippany,NJ,07054,,
