id,created_at,name,numSlic,alphaSlic,street,city,state,zip,instructions
4,2023-11-15 05:22:30.687119+00,Amazon EWR5,075AC,EWR5,301 Blair Rd,Avenel,NJ,07001,
5,2023-11-15 05:22:30.687119+00,Amazon ABE8,086AF,ABE8,309 Cedar Ln,Florence,NJ,08518,
6,2023-11-15 05:22:30.687119+00,Amazon TEB9,088AM,TEB9,601 Randolf Rd,Somerset,NJ,08873,
7,2023-11-15 05:22:30.687119+00,Amazon SWF1,125AM,SWF1,635 International Blvd,Rock Tavern,NY,12575,
8,2023-11-15 05:22:30.687119+00,Iris USA,17IRI,IRIPA,460 Forest Rd,Hazle Township,PA,18202,
9,2023-11-15 05:22:30.687119+00,Lutron,17LU,LUTPA,6540 Stonegate Dr,Allentown,PA,18106,
10,2023-11-15 05:22:30.687119+00,ShipBob,17SHB,SHBPA,4779 Hanoverville Rd,Bethlehem,PA,18020,
11,2023-11-15 05:22:30.687119+00,Zara,17ZR,ZRRPA,1611 Van Buren Rd,Easton,PA,18045,
12,2023-11-15 05:22:30.687119+00,Amazon ABE4,180AM,ABE4,1610 Van Buren Rd,Easton,PA,18045,
13,2023-11-15 05:22:30.687119+00,QVC,180QV,180QV,3419 Commerce Center Blvd,Bethlehem,PA,18015,
14,2023-11-15 05:22:30.687119+00,Uline Main Building,1813,ULNPA,700 Uline Way,Allentown,PA,18106,
15,2023-11-15 05:22:30.687119+00,Amazon AVP1,1826,AVP1,550 Oak Ridge Rd,Hazelton,PA,18202,
16,2023-11-15 05:22:30.687119+00,American Eagle,182AE,AEHPA,600 Oak Ridge Rd,Hazelton,PA,18202,
17,2023-11-15 05:22:30.687119+00,Amazon ABE2,182AM,ABE2,705 Boulder Dr,Breiningsville,PA,18031,
18,2023-11-15 05:22:30.687119+00,Amazon ABE3,184AM,ABE3,650 Boulder Dr,Breiningsville,PA,18031,
19,2023-11-15 05:22:30.687119+00,Amazon AVP3,185AM,AVP3,298 1st Ave,Gouldsboro,PA,18424,
20,2023-11-15 05:22:30.687119+00,Kohls,185KH,KHDPA,3907 Commerce Blvd,Dickson City,PA,18519,
21,2023-11-15 05:22:30.687119+00,Amazon ABE3,1868,ABE3,650 Boulder Dr,Breiningsville,PA,18031,
22,2023-11-15 05:22:30.687119+00,Amazon AVP9,189AM,AVP9,45 Valley View Cir,Jessup,PA,18434,
