Job Name,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Description,Bid Destination
B418,9:30,,2:00,,2:00,,10:20,Sun: BETPA>VVSPA>BETPA>AEHPA>BETPA>LULPA>BETPA>ZRRPA>BETPA Tue: BETPA>BURMD>BETPA Wed: BETPA>STAVA>BETPA Sat: BETPA>180QV>BETPA>MKSPA>BETPA,STAVA
B420,9:30,9:30,,,,,9:30,Sun: BETPA>AILPA>BETPA>QVBPA>BETPA>MKSPA>BETPA Mon: BETPA>MKSPA>BETPA>MKSPA>BETPA>BBNPA>BETPA>MKSPA>BETPA Fri: BETPA>Shift>NCTPA>BETPA>RADPA>BETPA>Shift Sat: BETPA>ZARPA>BETPA>ABE3>ALLPA>180QV>EZRPA>BETPA,EZRPA
B416,10:00,10:00,,,,,10:00,Sun: BETPA>NCTPA>BETPA>EZRPA>ALLPA>NCTPA>BETPA Mon: BETPA>UNXPA>BETPA>MEIPA>BETPA>BAYNJ>BETPA Fri: BETPA>Shift>VDKPA>BETPA>BAYNJ>BETPA Sat: BETPA>ABE4>ALLPA>NSOPA>BETPA,EZRPA
LV92,10:00,10:00,,,,,10:00,Sun: BETPA>SMKPA>BETPA>QVBPA>BETPA>180QV>BETPA>ULIPA>BETPA Mon: BETPA>RADG1>BETPA>CRYPA>BETPA>TRENJ>BETPA Fri: BETPA>DSVPA>BETPA>KLIPA>BETPA>Shift>MKSPA>BETPA Sat: BETPA>ALLPA>Shift>QVBPA>BETPA>QVBPA>BETPA>LULPA>BETPA>NCTPA>BETPA,TRENJ
B419,11:00,11:00,,,,11:30,11:00,Sun: BETPA>NCTPA>BETPA>BENPA>BETPA>180QV>EZRPA>BETPA>SHBPA>BETPA Mon: BETPA>NCTPA>BETPA>KIMPA>BETPA>EZRPA>BETPA Fri: BETPA>NCTPA>BETPA>ULNPA>BURMD>BETPA Sat: BETPA>NCTPA>BETPA>ABE2>ALLPA>GVBPA>BETPA,BURMO
LVP2,12:00,13:00,13:00,,13:00,13:00,,Sun: BETPA>ABE4>BETPA>180QV>BETPA>SVCPA>BETPA>AILPA>BETPA>NSOPA>BETPA Mon-Thu: BETPA>UNXPA>BETPA>KLIPA>BETPA>MKSPA>BETPA>ALLPA>BETPA,180QV
BUB4,13:30,14:45,14:45,,14:45,14:45,,Sun: BETPA>MKSPA>BETPA>AVPA>BETPA Mon-Wed: BETPA>180QV>Shift>EZRPA>BETPA>NOBG>MEANJ>BETPA Thu: BETPA>180QV>Shift>EZRPA>BETPA,EZRPA
BESY,14:30,15:15,,,15:15,15:15,,"Sun: BETPA>180QV>BETPA>QVBPA>BETPA>ULNPA>Shift>BETPA Mon, Wed: BETPA>SMOPA>BETPA>Shift>SYRNY>BETPA Thu: BETPA>SMOPA>BETPA>Shift",SYRNY
BEC2,14:40,16:15,,,,18:30,18:45,Sun: BETPA>ULNPA>BETPA>ULNPA>BETPA>EZRPA>BETPA Mon: BETPA>OREPA>BURMD>BETPA Thu: BETPA>ULNPA>NEWPA>BETPA Fri: Shift/WAA,NEWPA
B415,15:45,15:45,,,,15:00,16:00,Sun: BETPA>ULIPA>BETPA>ULNPA>BETPA Mon: BETPA>ULNPA>NEWPA>BETPA Fri: BETPA>SMOPA>BETPA>SYRNY>BETPA Sat: BETPA>ALLPA>PHLPA>180QV>EZRPA>BETPA,NEWPA
LV87,20:50,21:00,21:00,,21:00,21:00,,"Sun: BETPA>MEANJ>EWR55>BETPA Mon: BETPA>BURMD>HVAMD>BETPA Tue, Thu: BETPA>BURMD>BALMD>HBGRR>EZRPA>BETPA Wed: BETPA>BURMD>GAIMD>EZRPA>HBGRR>EZRPA>BETPA",GAIMD
LV89,,0:30,0:30,,0:30,0:30,,Mon: BETPA>TEN1>BETPA>BETPA Tue: BETPA>WILPA>ALLPA>BETPA>NCTPA>BETPA Wed-Fri: BETPA>WILPA>ALLPA>NCTPA>BETPA,WILPA
LV17,,1:00,2:00,,2:00,2:00,,Mon: BETPA>HARCT>WBAPA>BETPA Tue: BETPA>BOMD>NWTVA>BETPA Wed: BETPA>BOMD>BALMD>EZRPA>BETPA Thu: BETPA>BOMD>BALMD>BETPA,NWTVA
BEC1,,3:30,4:00,,4:00,4:00,,Mon: BETPA>OLPPA>BETPA>ADDPA>BETPA Tue: BETPA>NEWPA>CRLPA>BETPA Wed-Thu: BETPA>NEWPA>BETPA,NEWPA
BPU9,,6:10,6:10,,6:10,6:10,6:10,Mon-Fri: BETPA>GRRPA>BETPA>LULPA>BETPA>GOAPA>BETPA>THEPA>BETPA>ZARPA>BETPA>LULPA>BETPA>JBXPA>BETPA>AFOPA>SBKPA>NRIPA>BETPA>GRRPA>BETPA,THEPA
BDP1,,6:30,6:30,,6:30,6:30,6:30,Mon-Thu: BETPA>TSWPA>BETPA>MDAPA>BETPA>RADPA>BETPA>MKSPA>BETPA>WMNPA>MKSPA>CRYPA>FPZPA>REBPA>BETPA>TSWPA>BETPA>MDAPA>BETPA Fri: BETPA>TSWPA>BETPA>MKSPA>BETPA>WMNPA>MKSPA>CRYPA>FPZPA>BETPA>TSWPA>BETPA>MDAPA>BETPA,MKSPA
BPU3,,6:30,6:30,,6:30,6:30,6:30,Mon-Fri: BETPA>Shift>ABE2>BETPA>INXPA>BETPA>GEOPA>BETPA>NCTPA>BETPA,ABE2
LV55,,6:30,5:55,,,3:45,6:30,BETPA>Shift>AEHPA>BETPA,NEWPA
LV56,,7:00,7:00,,7:00,7:00,7:00,Mon-Fri: BETPA>VVSPA>BETPA>VDKPA>BETPA>BENPA>BETPA,BENPA
BP02,,8:00,8:00,,8:00,8:00,8:00,Mon-Fri: BETPA>VUPPA>BETPA>LCBPA>BETPA>QVBPA>BETPA,BENPA
LV21,,8:00,8:00,,8:00,8:00,8:00,Mon-Fri: BETPA>Shift>ABE3>BETPA>VUPPA>BETPA,VUPPA
BPU5,,8:30,8:30,,8:30,8:30,8:30,Mon-Fri: BETPA>INGPA>BETPA>MKSPA>BETPA>UNXPA>BETPA,INGPA
BPU4,,9:00,9:00,,9:00,9:00,9:00,Mon-Fri: BETPA>MKSPA>BETPA>MKSPA>BETPA>KIMPA>BETPA,KIMPA
BP01,,,9:00,9:00,9:00,9:00,9:00,Mon-Fri: BETPA>RDG1>BETPA>MGTPA>MRYPA>MCFPA>BETPA,RDG1
BSP1,,,9:00,9:00,9:00,9:00,9:00,Mon-Fri: BETPA>Shift>FLPPA>BETPA>ULNPA>BETPA>ABE2>Shift,ULNPA
LVP1,,,9:15,9:15,9:50,9:50,,Mon-Wed: BETPA>Shift>KIMPA>BETPA>AILPA>BETPA>MKSPA>BETPA Thu-Fri: BETPA>Shift>KIMPA>BETPA>AILPA>BETPA>MKSPA>BETPA>Shift,KIMPA
LV20,,,9:40,9:40,9:40,9:40,,Mon-Fri: BETPA>Shift>MKSPA>BETPA>VRIPA>DSVPA>BETPA>ULIPA>BETPA,VRIPA
LV58,,,9:45,9:45,9:45,9:45,,Mon-Fri: BETPA>NSOPA>BETPA>CORPA>BETPA>NSOPA>BETPA,NSOPA
LV44,,,10:15,10:15,10:15,10:15,10:15,Mon-Fri: BETPA>RALPA>BETPA>QVBPA>BETPA>FIRPA>BETPA,FIRPA
LV34,,,10:30,10:30,10:30,10:30,10:30,Mon: BETPA>TPCPA>BETPA>ABE4>BETPA>NLTPA>FISPA>BETPA>ULNPA>BETPA Wed: BETPA>TPCPA>BETPA>ABE4>BETPA>NLTPA>FISPA>BETPA>Shift Thu: BETPA>TPCPA>BETPA>ABE4>BETPA>FISPA>BETPA>ULNPA>BETPA>ULNPA>BETPA>ULNPA>BETPA Fri: BETPA>TPCPA>BETPA>ABE4>BETPA>NLTPA>BETPA,TPCPA
LV93,,,10:40,10:40,10:40,10:40,10:40,Mon-Thu: BETPA>MKSPA>BETPA>BRUPA>BETPA>WLWPA>BETPA>EWR55>BETPA Fri: BETPA>MKSPA>BETPA>BRUPA>BETPA>WLWPA>BETPA>TEN1>BETPA,EWR55
BPU1,,,11:30,11:30,11:30,11:30,11:30,Mon: BETPA>VUPPA>BETPA>SMWPA>BETPA>Shift>TEN1>BETPA Tue-Fri: BETPA>VUPPA>BETPA>SMWPA>BETPA>TEN1>BETPA,VUPPA
LV35,,,11:30,11:30,11:30,11:30,11:30,"Mon, Fri, Wed: BETPA>ABE4>BETPA>ABE4>BETPA>ABE4>BETPA>WBRPA>BETPA>Shift>ALLPA>Shift>BETPA Tue: BETPA>ABE4>BETPA>ABE4>BETPA>ABE4>BETPA>WBRPA>BETPA>ALLPA>BETPA Thu: BETPA>ABE4>BETPA>ABE4>BETPA>ABE4>BETPA>WBRPA>BETPA>ALLPA>BETPA",WBRPA
LV36,,,12:00,11:10,12:00,12:00,12:00,Mon-Fri: BETPA>ULIPA>BETPA>BBNPA>BETPA>CCIPA>Shift,ULIPA
LV48,,,12:00,12:00,12:00,12:00,12:00,Mon-Thu: BETPA>AVP9>CESPA>BETPA>MKSPA>BETPA>TEN1>BETPA Fri: BETPA>AVP9>CESPA>BETPA>MKSPA>BETPA>TEN1>ALLPA>BETPA,AVP9
LV25,,,12:15,12:15,12:15,12:15,12:15,Mon: BETPA>CFDPA>BETPA>TEN1>BETPA Tue-Fri: BETPA>CFDPA>BETPA,CFDPA
AMO2,,,12:30,12:30,12:30,12:30,,"Mon, Fri, Thu: BETPA>ABE3>BETPA>ULIPA>BETPA Tue-Wed: BETPA>ABE3>BETPA>ULIPA>BETPA>PARNJ>BETPA",PARNJ
LV30,,,12:30,12:30,12:30,12:30,12:30,Mon-Fri: BETPA>AILPA>BETPA>BRDPA>BETPA>LULPA>BETPA>ULNPA>BETPA,ULNPA
RDG3,,,12:30,12:30,12:30,12:30,12:30,Mon-Thu: BETPA>RDG1>BETPA>ULNPA>CRBNJ>TRENJ>BETPA Fri: BETPA>RDG1>BETPA>ULNPA>MEANJ>BETPA,CRBNJ
BUM4,,,13:00,13:00,13:00,13:00,13:00,Mon-Thu: BETPA>SMAPA>SMWPA>BETPA>ULNPA>CRBNJ>BETPA Fri: BETPA>SMAPA>SMWPA>BETPA>ULNPA>MEANJ>CRBNJ>BETPA,CRBNJ
LV18,,,13:00,13:00,13:00,13:00,,Mon: BETPA>NLTPA>BETPA>QVBPA>BETPA>MEANJ>BETPA Tue: BETPA>NLTPA>BETPA>QVBPA>BETPA Wed: BETPA>NLTPA>BETPA>QVBPA>BETPA>SADNJ>BETPA Thu: BETPA>NLTPA>BETPA>QVBPA>BETPA>PARNJ>SADNJ>BETPA,MEANJ
LV54,,,13:00,13:00,13:00,13:00,13:00,Mon: BETPA>MKSPA>BETPA>CR2PA>BETPA>GMCPA>BETPA>BAYNJ>BETPA Tue: BETPA>MKSPA>BETPA>CR2PA>BETPA>GMCPA>BETPA>TEN1>BETPA Wed: BETPA>MKSPA>BETPA>CR2PA>BETPA>GMCPA>BETPA Thu: BETPA>MKSPA>BETPA>CR2PA>BETPA>CRLPA>ALLPA>BETPA Fri: BETPA>MKSPA>BETPA>CR2PA>BETPA>GMCPA>BETPA>WILPA>BETPA,CRLPA
